placa,modelo,localizacao
NEW-5100,Chevrolet Cruze,52087070547
WQT-7713,Hyundai Tucson,52087070503
FPD-6824,Chevrolet Cruze,52087070518
FZX-3538,Hyundai Tucson,52087070503
BLU-3069,Volkswagen T-Cross,52087070503
ZPI-9913,Fiat Toro,52087070521
GPA-7139,Honda Civic,52087070559
FVH-2271,Jeep Compass,52087070515
LYS-2744,Volkswagen Golf,52087070544
MMA-1687,BMW 320i,52087070540
RYA-9111,Volkswagen Golf,52087070520
KDG-9425,Toyota Corolla,52087070540
WPJ-1466,Ford Mustang,52087070511
YLF-6419,Chevrolet Cruze,52087070528
ZZC-0559,Volkswagen Golf,52087070540
JDS-0339,Renault Kwid,52087070526
XWV-8233,Toyota Corolla,52087070504
SLE-4424,Volkswagen Golf,52087070501
WBH-9126,Toyota Corolla,52087070518
LUW-7309,Kia Seltos,52087070519
UFB-5195,Hyundai Tucson,52087070518
PHS-4581,Honda Civic,52087070504
BZI-5818,Ford Mustang,52087070505
UFI-1831,Audi A3,52087070539
CGV-5009,Hyundai Tucson,52087070508
UUU-1497,Volkswagen Golf,52087070543
FPC-8935,Chevrolet Tracker,52087070516
BOR-4858,Nissan Kicks,52087070548
LHB-9944,Honda Civic,52087070508
XBV-4788,Chevrolet Tracker,52087070501
ZYH-7084,Fiat Toro,52087070549
SZL-5895,Toyota Corolla,52087070529
DUS-9505,Jeep Renegade,52087070538
MEC-1183,Ford Mustang,52087070549
ZIX-6372,Hyundai Tucson,52087070513
GNI-0067,Toyota Corolla,52087070560
XOI-4284,Kia Seltos,52087070510
BBE-5051,Fiat Toro,52087070535
IPO-2818,Honda HR-V,52087070551
BEM-9362,Volkswagen Golf,52087070501
DYJ-4720,BMW 320i,52087070503
NMF-9111,Ford Mustang,52087070503
BWA-0070,Renault Kwid,52087070501
RYS-8818,Toyota Hilux,52087070547
POK-4774,Fiat Toro,52087070541
DMQ-8691,Honda HR-V,52087070517
MKN-0014,Jeep Compass,52087070562
OVB-0682,Renault Kwid,52087070554
FAJ-6746,Hyundai Tucson,52087070503
LVT-2972,Fiat Toro,52087070549
SMT-5544,Chevrolet Tracker,52087070527
WXA-1844,Nissan Kicks,52087070548
MFZ-7848,Audi A3,52087070559
AKB-2775,Fiat Toro,52087070518
NQS-6335,Toyota Corolla,52087070519
KLT-7886,Kia Seltos,52087070558
BLV-0671,Jeep Renegade,52087070520
NXG-4701,Nissan Kicks,52087070505
PRO-7711,Jeep Compass,52087070552
MUT-0854,Fiat Toro,52087070508
BFS-0191,Kia Seltos,52087070504
KCT-0196,Nissan Kicks,52087070514
CTS-9108,Honda Civic,52087070513
WVD-9846,Nissan Kicks,52087070513
EAS-9335,Chevrolet Tracker,52087070563
ANM-7556,Fiat Toro,52087070560
GVB-6215,Toyota Hilux,52087070538
QSE-3074,Kia Seltos,52087070501
PMO-8641,Honda Civic,52087070544
SOS-3167,Chevrolet Tracker,52087070514
THG-4127,Volkswagen T-Cross,52087070526
OSO-6387,Ford Mustang,52087070513
KUP-2525,Nissan Kicks,52087070547
OUD-0566,Volkswagen Golf,52087070545
HDH-4396,Kia Seltos,52087070538
EQM-5991,Honda HR-V,52087070545
FVP-8555,Ford Mustang,52087070509
ALW-6424,Mitsubishi L200,52087070514
SFT-4053,Mitsubishi L200,52087070556
HYX-3237,Renault Kwid,52087070559
NAL-0043,Audi A3,52087070531
IMM-9958,Ford Mustang,52087070518
CWX-2322,Volkswagen Golf,52087070537
QAA-9382,Volkswagen Golf,52087070543
PAH-0027,Honda Civic,52087070559
PRE-3248,Kia Seltos,52087070530
EIK-0657,Audi A3,52087070531
DQW-8364,Volkswagen Golf,52087070515
XQM-2055,Fiat Toro,52087070514
EYF-7832,Renault Kwid,52087070525
JVI-7939,Jeep Compass,52087070552
DNT-4576,Fiat Toro,52087070549
NDW-3307,Jeep Renegade,52087070524
YSZ-9865,Kia Seltos,52087070509
PVF-8565,Fiat Toro,52087070525
TGX-3557,Audi A3,52087070522
RTM-1147,Toyota Corolla,52087070555
ATZ-8488,Honda HR-V,52087070562
YOM-9769,Toyota Corolla,52087070545
SEE-5955,Hyundai Tucson,52087070501
NGS-6541,Toyota Hilux,52087070508
WFB-5557,Chevrolet Tracker,52087070511
SMB-2872,Jeep Compass,52087070534
INC-1240,Hyundai Tucson,52087070513
RQX-1216,Kia Seltos,52087070502
FVT-5392,Chevrolet Tracker,52087070514
NEL-9311,Volkswagen T-Cross,52087070518
QFG-0861,Ford Fiesta,52087070507
FMI-5300,Volkswagen T-Cross,52087070501
FYI-0669,Jeep Renegade,52087070503
ADB-1666,Nissan Kicks,52087070521
BLI-0119,Ford Fiesta,52087070527
FZB-3419,BMW 320i,52087070514
ZUN-0104,Audi A3,52087070542
QUF-0163,Chevrolet Tracker,52087070537
DPX-5728,Ford Mustang,52087070502
LDB-6454,Toyota Corolla,52087070501
XLO-7703,Volkswagen Golf,52087070533
VGK-2710,Chevrolet Tracker,52087070538
KZQ-7976,Honda Civic,52087070519
MFC-5009,Hyundai Tucson,52087070519
PFG-3234,Honda HR-V,52087070507
XIE-1510,Volkswagen Golf,52087070504
TZR-0822,Nissan Kicks,52087070532
VEK-6507,Volkswagen T-Cross,52087070529
XFT-2275,Toyota Corolla,52087070501
PQY-4954,Ford Mustang,52087070521
VRN-4156,Honda HR-V,52087070510
CKS-4330,Jeep Renegade,52087070529
MCU-1933,Toyota Corolla,52087070558
DJZ-6820,Volkswagen T-Cross,52087070501
EAB-5949,Chevrolet Tracker,52087070512
QRD-3214,Mitsubishi L200,52087070519
OAQ-5271,Jeep Renegade,52087070531
WGC-5696,Mitsubishi L200,52087070515
VRB-3639,Ford Fiesta,52087070517
XYR-1794,Jeep Compass,52087070551
SVI-3298,Nissan Kicks,52087070518
JRI-8256,Kia Seltos,52087070560
EWJ-6590,Kia Seltos,52087070518
TDY-8456,Jeep Renegade,52087070538
XDK-9962,Honda Civic,52087070557
JPU-5962,Chevrolet Cruze,52087070519
SWR-9824,Toyota Hilux,52087070528
IFS-7417,Fiat Toro,52087070542
HJY-0554,Honda HR-V,52087070545
LAD-4232,Audi A3,52087070504
OLU-4342,Hyundai Tucson,52087070526
XIP-1926,Audi A3,52087070534
ZKA-0305,Volkswagen Golf,52087070518
EIA-1964,Chevrolet Tracker,52087070530
UHS-5824,Chevrolet Tracker,52087070521
LTJ-4011,Volkswagen Golf,52087070518
MPI-5690,Fiat Toro,52087070518
CJV-9068,Renault Kwid,52087070529
FAY-1336,Volkswagen T-Cross,52087070563
ONW-2929,Renault Kwid,52087070512
QGR-6637,Hyundai Tucson,52087070556
JFC-1623,Toyota Hilux,52087070530
UQX-4757,Audi A3,52087070508
CFI-0459,Chevrolet Cruze,52087070540
XVM-5737,Audi A3,52087070503
ADF-4071,Fiat Toro,52087070532
CCZ-2338,Ford Mustang,52087070518
OMO-6139,Fiat Toro,52087070561
HBM-0381,Jeep Renegade,52087070503
DUX-7052,Ford Mustang,52087070560
LCH-3661,Renault Kwid,52087070501
CPQ-9080,Jeep Compass,52087070518
JAC-9384,Jeep Compass,52087070539
AGB-3732,Fiat Toro,52087070537
RFX-9165,Toyota Hilux,52087070524
GTO-3056,Volkswagen T-Cross,52087070521
LVY-7011,BMW 320i,52087070554
JPX-5904,Toyota Hilux,52087070522
PNC-1256,Mitsubishi L200,52087070554
IDA-5385,Audi A3,52087070504
YJU-3390,Ford Mustang,52087070544
IIZ-6180,Jeep Renegade,52087070508
NCE-9053,Kia Seltos,52087070540
XWZ-4591,Mitsubishi L200,52087070560
JZG-8838,Jeep Compass,52087070504
LDU-8880,Kia Seltos,52087070504
VBV-5713,Honda HR-V,52087070528
QYG-2585,Nissan Kicks,52087070501
TAA-9114,Ford Fiesta,52087070536
BVJ-7970,Honda Civic,52087070530
GZC-6282,Audi A3,52087070538
PYK-2213,BMW 320i,52087070505
WHN-4492,Volkswagen T-Cross,52087070530
JFM-3932,Honda Civic,52087070563
JTT-4462,Renault Kwid,52087070535
FDL-7001,BMW 320i,52087070518
CJX-7573,Honda Civic,52087070518
ILD-9424,Honda HR-V,52087070515
VVC-6330,Chevrolet Tracker,52087070515
LXD-9174,Kia Seltos,52087070524
DEF-3101,Chevrolet Cruze,52087070508
YVY-9072,Fiat Toro,52087070508
UWX-3480,Chevrolet Cruze,52087070504
VBL-9131,Ford Mustang,52087070518
LLF-2447,Honda Civic,52087070530
QIE-3076,Chevrolet Cruze,52087070512
LDV-1767,Toyota Hilux,52087070528
CTW-1103,Chevrolet Tracker,52087070545
RSU-9302,Volkswagen T-Cross,52087070562
YDS-7145,Ford Fiesta,52087070518
OLV-6221,Chevrolet Cruze,52087070551
NZG-5924,Chevrolet Cruze,52087070518
KUJ-9822,Hyundai Tucson,52087070555
ROB-8010,Toyota Corolla,52087070558
ZXL-6386,Mitsubishi L200,52087070550
DRL-1689,Chevrolet Cruze,52087070556
DEY-7197,Audi A3,52087070515
LTT-0822,Hyundai Tucson,52087070535
GCC-7512,Fiat Toro,52087070558
YCR-7408,Jeep Compass,52087070552
PLP-6635,Audi A3,52087070542
GWP-6613,Volkswagen T-Cross,52087070533
LTD-2492,Chevrolet Cruze,52087070515
YGJ-7666,Chevrolet Cruze,52087070513
MBX-9846,Hyundai Tucson,52087070519
ISS-3846,Toyota Hilux,52087070548
VFN-2217,Volkswagen T-Cross,52087070526
SDG-1636,Ford Mustang,52087070543
PFR-4039,Volkswagen T-Cross,52087070527
BGH-8906,Honda HR-V,52087070504
RVH-5279,Toyota Hilux,52087070549
GVA-6619,Toyota Corolla,52087070512
MOO-9271,Chevrolet Tracker,52087070548
NCZ-3791,Volkswagen Golf,52087070512
WYJ-1480,Chevrolet Tracker,52087070532
XKK-1340,Volkswagen T-Cross,52087070556
GKG-9044,Hyundai Tucson,52087070503
JFT-3028,Renault Kwid,52087070543
OAS-0359,Renault Kwid,52087070503
KFN-2922,Honda HR-V,52087070514
CNU-1907,Renault Kwid,52087070552
VIE-0572,Hyundai Tucson,52087070518
MWQ-4242,Fiat Toro,52087070536
AVG-1047,Volkswagen T-Cross,52087070533
NUL-6138,Fiat Toro,52087070501
XDV-1176,Volkswagen T-Cross,52087070501
NPG-0723,Ford Fiesta,52087070556
OFA-8994,Audi A3,52087070508
IGJ-2467,Chevrolet Tracker,52087070505
TER-0636,Jeep Compass,52087070560
MYJ-0790,Honda Civic,52087070555
NLT-7795,Fiat Toro,52087070541
DSI-4433,Mitsubishi L200,52087070505
MPH-0446,Volkswagen T-Cross,52087070502
WXZ-1633,Honda Civic,52087070512
ECF-9259,Chevrolet Cruze,52087070546
WAJ-2089,Honda Civic,52087070554
IDK-5509,Audi A3,52087070516
IUP-5949,Volkswagen T-Cross,52087070514
JPT-0989,Chevrolet Tracker,52087070511
AZZ-5283,BMW 320i,52087070512
NMW-7701,Ford Fiesta,52087070546
QAD-6647,Toyota Hilux,52087070556
JMU-1178,Jeep Renegade,52087070512
CAU-1921,Nissan Kicks,52087070552
NVS-8488,Chevrolet Tracker,52087070515
LZP-6022,Renault Kwid,52087070561
GLC-8622,Volkswagen Golf,52087070547
UYU-8899,Chevrolet Cruze,52087070552
PUV-4176,Honda HR-V,52087070502
CRD-1549,Kia Seltos,52087070547
KBB-3654,Toyota Hilux,52087070528
UVP-2162,Volkswagen Golf,52087070559
EKS-6684,Kia Seltos,52087070561
TIL-1568,Toyota Corolla,52087070505
SSO-5598,Chevrolet Tracker,52087070531
RJF-1596,Nissan Kicks,52087070552
XPS-6997,Chevrolet Tracker,52087070563
RRQ-5452,Renault Kwid,52087070540
KDU-1224,Toyota Hilux,52087070506
SMQ-1339,Hyundai Tucson,52087070542
DWV-3498,Nissan Kicks,52087070535
FPF-5342,Honda HR-V,52087070520
DMP-6559,Volkswagen T-Cross,52087070556
EHU-5314,Fiat Toro,52087070547
GSG-1263,Volkswagen Golf,52087070545
MBA-3741,Jeep Compass,52087070519
XFY-6178,Jeep Compass,52087070505
BSE-6317,Volkswagen Golf,52087070512
FUE-5912,Toyota Hilux,52087070560
ZUY-7220,Volkswagen Golf,52087070553
OMX-4069,Mitsubishi L200,52087070541
VCH-3563,Toyota Hilux,52087070538
YED-3217,Fiat Toro,52087070542
HPR-5003,Renault Kwid,52087070520
QNH-9161,Fiat Toro,52087070503
YIJ-8195,Honda HR-V,52087070537
GSO-9304,Honda Civic,52087070549
VRZ-0931,Jeep Compass,52087070514
BPH-2214,Audi A3,52087070509
STM-5523,Chevrolet Cruze,52087070516
AJP-5031,Honda Civic,52087070552
NKQ-2731,Hyundai Tucson,52087070512
TPI-9582,BMW 320i,52087070536
CKT-7298,Kia Seltos,52087070547
PHX-7896,Fiat Toro,52087070529
HYT-2427,Mitsubishi L200,52087070536
GPY-3552,Volkswagen T-Cross,52087070503
BUG-4492,Honda HR-V,52087070520
LJP-0238,Ford Mustang,52087070519
XMD-1770,Ford Fiesta,52087070514
AWU-8095,Chevrolet Tracker,52087070559
JTV-2258,Chevrolet Tracker,52087070552
YJX-2531,Kia Seltos,52087070521
TBT-0637,Volkswagen T-Cross,52087070558
BUU-1776,Volkswagen T-Cross,52087070559
EQT-3894,Chevrolet Cruze,52087070528
PAT-2956,Toyota Corolla,52087070530
SYT-0804,Renault Kwid,52087070552
AWY-1559,Jeep Renegade,52087070521
SVK-6973,Volkswagen T-Cross,52087070513
MVE-0094,Ford Mustang,52087070528
MJV-1460,Ford Mustang,52087070533
RRA-7892,BMW 320i,52087070560
PPF-0271,Ford Mustang,52087070534
ZID-9516,Audi A3,52087070516
RRO-7744,Nissan Kicks,52087070535
TRW-6074,BMW 320i,52087070542
BLA-7788,Volkswagen T-Cross,52087070508
WVR-5713,Kia Seltos,52087070538
OGN-9281,Volkswagen Golf,52087070513
LYF-4011,Ford Mustang,52087070509
NCD-6247,Audi A3,52087070503
QJT-6015,Mitsubishi L200,52087070515
YCK-3682,Toyota Hilux,52087070541
HIO-0476,Volkswagen T-Cross,52087070504
ZLJ-1145,Volkswagen Golf,52087070550
